file,type,line,frame
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/javascript-algorithms/src/utils/comparator/__test__/Comparator.test.js,Conditional Test Logic,"{'line': 27, 'column': 6, 'index': 1178}","  25 |   it('should compare with custom comparator function', () => {
  26 |     const comparator = new Comparator((a, b) => {
> 27 |       if (a.length === b.length) {
     |      ^ Conditional Test Logic
  28 |         return 0;
  29 |       }
  30 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/javascript-algorithms/src/utils/comparator/__test__/Comparator.test.js,Duplicate Assert,"{'line': 34, 'column': 4, 'index': 1290}","  32 |     });
  33 |
> 34 |     expect(comparator.equal('a', 'b')).toBe(true);
     |    ^ Duplicate Assert
  35 |     expect(comparator.equal('a', '')).toBe(false);
  36 |     expect(comparator.lessThan('b', 'aa')).toBe(true);
  37 |     expect(comparator.greaterThanOrEqual('a', 'aa')).toBe(false);"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/javascript-algorithms/src/utils/comparator/__test__/Comparator.test.js,Duplicate Assert,"{'line': 34, 'column': 4, 'index': 1290}","  32 |     });
  33 |
> 34 |     expect(comparator.equal('a', 'b')).toBe(true);
     |    ^ Duplicate Assert
  35 |     expect(comparator.equal('a', '')).toBe(false);
  36 |     expect(comparator.lessThan('b', 'aa')).toBe(true);
  37 |     expect(comparator.greaterThanOrEqual('a', 'aa')).toBe(false);"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/javascript-algorithms/src/utils/comparator/__test__/Comparator.test.js,Duplicate Assert,"{'line': 35, 'column': 4, 'index': 1341}","  33 |
  34 |     expect(comparator.equal('a', 'b')).toBe(true);
> 35 |     expect(comparator.equal('a', '')).toBe(false);
     |    ^ Duplicate Assert
  36 |     expect(comparator.lessThan('b', 'aa')).toBe(true);
  37 |     expect(comparator.greaterThanOrEqual('a', 'aa')).toBe(false);
  38 |     expect(comparator.greaterThanOrEqual('aa', 'a')).toBe(true);"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/javascript-algorithms/src/utils/comparator/__test__/Comparator.test.js,Duplicate Assert,"{'line': 35, 'column': 4, 'index': 1341}","  33 |
  34 |     expect(comparator.equal('a', 'b')).toBe(true);
> 35 |     expect(comparator.equal('a', '')).toBe(false);
     |    ^ Duplicate Assert
  36 |     expect(comparator.lessThan('b', 'aa')).toBe(true);
  37 |     expect(comparator.greaterThanOrEqual('a', 'aa')).toBe(false);
  38 |     expect(comparator.greaterThanOrEqual('aa', 'a')).toBe(true);"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/javascript-algorithms/src/utils/comparator/__test__/Comparator.test.js,Duplicate Assert,"{'line': 36, 'column': 4, 'index': 1392}","  34 |     expect(comparator.equal('a', 'b')).toBe(true);
  35 |     expect(comparator.equal('a', '')).toBe(false);
> 36 |     expect(comparator.lessThan('b', 'aa')).toBe(true);
     |    ^ Duplicate Assert
  37 |     expect(comparator.greaterThanOrEqual('a', 'aa')).toBe(false);
  38 |     expect(comparator.greaterThanOrEqual('aa', 'a')).toBe(true);
  39 |     expect(comparator.greaterThanOrEqual('a', 'a')).toBe(true);"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/javascript-algorithms/src/utils/comparator/__test__/Comparator.test.js,Duplicate Assert,"{'line': 37, 'column': 4, 'index': 1447}","  35 |     expect(comparator.equal('a', '')).toBe(false);
  36 |     expect(comparator.lessThan('b', 'aa')).toBe(true);
> 37 |     expect(comparator.greaterThanOrEqual('a', 'aa')).toBe(false);
     |    ^ Duplicate Assert
  38 |     expect(comparator.greaterThanOrEqual('aa', 'a')).toBe(true);
  39 |     expect(comparator.greaterThanOrEqual('a', 'a')).toBe(true);
  40 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/javascript-algorithms/src/utils/comparator/__test__/Comparator.test.js,Duplicate Assert,"{'line': 38, 'column': 4, 'index': 1513}","  36 |     expect(comparator.lessThan('b', 'aa')).toBe(true);
  37 |     expect(comparator.greaterThanOrEqual('a', 'aa')).toBe(false);
> 38 |     expect(comparator.greaterThanOrEqual('aa', 'a')).toBe(true);
     |    ^ Duplicate Assert
  39 |     expect(comparator.greaterThanOrEqual('a', 'a')).toBe(true);
  40 |
  41 |     comparator.reverse();"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/javascript-algorithms/src/utils/comparator/__test__/Comparator.test.js,Duplicate Assert,"{'line': 39, 'column': 4, 'index': 1578}","  37 |     expect(comparator.greaterThanOrEqual('a', 'aa')).toBe(false);
  38 |     expect(comparator.greaterThanOrEqual('aa', 'a')).toBe(true);
> 39 |     expect(comparator.greaterThanOrEqual('a', 'a')).toBe(true);
     |    ^ Duplicate Assert
  40 |
  41 |     comparator.reverse();
  42 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/javascript-algorithms/src/utils/comparator/__test__/Comparator.test.js,Duplicate Assert,"{'line': 39, 'column': 4, 'index': 1578}","  37 |     expect(comparator.greaterThanOrEqual('a', 'aa')).toBe(false);
  38 |     expect(comparator.greaterThanOrEqual('aa', 'a')).toBe(true);
> 39 |     expect(comparator.greaterThanOrEqual('a', 'a')).toBe(true);
     |    ^ Duplicate Assert
  40 |
  41 |     comparator.reverse();
  42 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/javascript-algorithms/src/utils/comparator/__test__/Comparator.test.js,Duplicate Assert,"{'line': 43, 'column': 4, 'index': 1670}","  41 |     comparator.reverse();
  42 |
> 43 |     expect(comparator.equal('a', 'b')).toBe(true);
     |    ^ Duplicate Assert
  44 |     expect(comparator.equal('a', '')).toBe(false);
  45 |     expect(comparator.lessThan('b', 'aa')).toBe(false);
  46 |     expect(comparator.greaterThanOrEqual('a', 'aa')).toBe(true);"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/javascript-algorithms/src/utils/comparator/__test__/Comparator.test.js,Duplicate Assert,"{'line': 43, 'column': 4, 'index': 1670}","  41 |     comparator.reverse();
  42 |
> 43 |     expect(comparator.equal('a', 'b')).toBe(true);
     |    ^ Duplicate Assert
  44 |     expect(comparator.equal('a', '')).toBe(false);
  45 |     expect(comparator.lessThan('b', 'aa')).toBe(false);
  46 |     expect(comparator.greaterThanOrEqual('a', 'aa')).toBe(true);"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/javascript-algorithms/src/utils/comparator/__test__/Comparator.test.js,Duplicate Assert,"{'line': 44, 'column': 4, 'index': 1721}","  42 |
  43 |     expect(comparator.equal('a', 'b')).toBe(true);
> 44 |     expect(comparator.equal('a', '')).toBe(false);
     |    ^ Duplicate Assert
  45 |     expect(comparator.lessThan('b', 'aa')).toBe(false);
  46 |     expect(comparator.greaterThanOrEqual('a', 'aa')).toBe(true);
  47 |     expect(comparator.greaterThanOrEqual('aa', 'a')).toBe(false);"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/javascript-algorithms/src/utils/comparator/__test__/Comparator.test.js,Duplicate Assert,"{'line': 44, 'column': 4, 'index': 1721}","  42 |
  43 |     expect(comparator.equal('a', 'b')).toBe(true);
> 44 |     expect(comparator.equal('a', '')).toBe(false);
     |    ^ Duplicate Assert
  45 |     expect(comparator.lessThan('b', 'aa')).toBe(false);
  46 |     expect(comparator.greaterThanOrEqual('a', 'aa')).toBe(true);
  47 |     expect(comparator.greaterThanOrEqual('aa', 'a')).toBe(false);"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/javascript-algorithms/src/utils/comparator/__test__/Comparator.test.js,Duplicate Assert,"{'line': 45, 'column': 4, 'index': 1772}","  43 |     expect(comparator.equal('a', 'b')).toBe(true);
