file,type,line,method,methodStart,methodEnd,source
/test/spec/utils-test.js,AnonymousTest,"{'startLine':408,'endLine':434}","it(""Prevent collision"", () => {
    const layout = [
      { x: 0, y: 0, w: 1, h: 10, i: ""A"" },
      { x: 0, y: 10, w: 1, h: 1, i: ""B"" },
      { x: 0, y: 11, w: 1, h: 1, i: ""C"" }
    ];
    // Move A down by 2. This will collide with B and C so
    // the layout should be unchanged
    const itemA = layout[0];
    const modifiedLayout = moveElement(
      layout,
      itemA,
      0, // x
      2, // y
      true, // isUserAction
      true, // preventCollision
      null, // compactType
      10 // cols
    );
    expect(Object.is(layout, modifiedLayout)).toBe(true);

    expect(layout).toEqual([
      expect.objectContaining({ x: 0, y: 0, w: 1, h: 10, i: ""A"" }),
      expect.objectContaining({ x: 0, y: 10, w: 1, h: 1, i: ""B"" }),
      expect.objectContaining({ x: 0, y: 11, w: 1, h: 1, i: ""C"" })
    ]);
  })",408,434,snuts
/test/spec/utils-test.js,AnonymousTest,"{'startLine':730,'endLine':738}","it(""ignores children"", () => {
    const props1 = {
      children: [""foo"", ""bar""]
    };
    const props2 = {
      children: [""biff"", ""bar""]
    };
    expect(fastRGLPropsEqual(props1, props2, deepEqual)).toEqual(true);
  })",730,738,snuts
/test/spec/utils-test.js,AnonymousTest,"{'startLine':835,'endLine':841}","it(""smoke test"", () => {
    const deepFreezeResult = deepFreeze(
      { a: ""a"", b: { b: ""c"" } },
      { get: true, set: true }
    );
    expect(JSON.stringify(deepFreezeResult)).toBe('{""a"":""a"",""b"":{""b"":""c""}}');
  })",835,841,snuts
/test/spec/utils-test.js,AnonymousTest,"{'startLine':861,'endLine':864}","it(""returns `toJSON`"", () => {
    const res = deepFreeze({ a: ""toJSON"" });
    expect(res.a.toString()).toBe(`toJSON`);
  })",861,864,snuts
/test/spec/utils-test.js,OvercommentedTest,"{'startLine':238,'endLine':263}","it(""Moves elements out of the way without causing panel jumps when compaction is vertical"", () => {
    const layout = [
      { x: 0, y: 0, w: 1, h: 10, i: ""A"" },
      { x: 0, y: 10, w: 1, h: 1, i: ""B"" },
      { x: 0, y: 11, w: 1, h: 1, i: ""C"" }
    ];
    // move A down slightly so it collides with C; can cause C to jump above B.
    // We instead want B to jump above A (it has the room)
    const itemA = layout[0];
    expect(
      compactAndMove(
        layout,
        itemA,
        0,
        1, // x, y
        true, // isUserAction
        false, //  preventCollision
        ""vertical"",
        10 // compactType, cols
      )
    ).toEqual([
      expect.objectContaining({ x: 0, y: 1, w: 1, h: 10, i: ""A"" }),
      expect.objectContaining({ x: 0, y: 0, w: 1, h: 1, i: ""B"" }),
      expect.objectContaining({ x: 0, y: 11, w: 1, h: 1, i: ""C"" })
    ]);
  })",238,263,snuts
/test/spec/utils-test.js,OvercommentedTest,"{'startLine':265,'endLine':290}","it(""Calculates the correct collision when moving large object far"", () => {
    const layout = [
      { x: 0, y: 0, w: 1, h: 10, i: ""A"" },
      { x: 0, y: 10, w: 1, h: 1, i: ""B"" },
      { x: 0, y: 11, w: 1, h: 1, i: ""C"" }
    ];
    // Move A down by 2. This should move B above, but since we don't compact in between,
    // C should move below.
    const itemA = layout[0];
    expect(
      moveElement(
        layout,
        itemA,
        0,
        2, // x, y
        true, // isUserAction
        false, //  preventCollision
        ""vertical"",
        10 // compactType, cols
      )
    ).toEqual([
      expect.objectContaining({ x: 0, y: 2, w: 1, h: 10, i: ""A"" }),
      expect.objectContaining({ x: 0, y: 1, w: 1, h: 1, i: ""B"" }),
      expect.objectContaining({ x: 0, y: 12, w: 1, h: 1, i: ""C"" })
    ]);
  })",265,290,snuts
/test/spec/utils-test.js,OvercommentedTest,"{'startLine':292,'endLine':317}","it(""Moves elements out of the way without causing panel jumps when compaction is vertical (example case 13)"", () => {
    const layout = [
      { x: 0, y: 0, w: 1, h: 1, i: ""A"" },
      { x: 1, y: 0, w: 1, h: 1, i: ""B"" },
      { x: 0, y: 1, w: 2, h: 2, i: ""C"" }
    ];
    // move A over slightly so it collides with B; can cause C to jump above B
    // this test will check that that does not happen
    const itemA = layout[0];
    expect(
      moveElement(
        layout,
        itemA,
        1,
        0, // x, y
        true, // isUserAction
        false, //  preventCollision
        ""vertical"",
        2 // compactType, cols
      )
    ).toEqual([
      { x: 1, y: 0, w: 1, h: 1, i: ""A"", moved: true },
      { x: 1, y: 1, w: 1, h: 1, i: ""B"", moved: true },
      { x: 0, y: 2, w: 2, h: 2, i: ""C"", moved: true }
    ]);
  })",292,317,snuts
/test/spec/utils-test.js,OvercommentedTest,"{'startLine':319,'endLine':344}","it(""Moves elements out of the way without causing panel jumps when compaction is horizontal"", () => {
    const layout = [
      { y: 0, x: 0, h: 1, w: 10, i: ""A"" },
      { y: 0, x: 11, h: 1, w: 1, i: ""B"" },
      { y: 0, x: 12, h: 1, w: 1, i: ""C"" }
    ];
    // move A over slightly so it collides with C; can cause C to jump left of B
    // this test will check that that does not happen
    const itemA = layout[0];
    expect(
      moveElement(
        layout,
        itemA,
        2,
        0, // x, y
        true, // isUserAction
        false, //  preventCollision
        ""horizontal"",
        10 // compactType, cols
      )
    ).toEqual([
      { y: 0, x: 2, h: 1, w: 10, moved: true, i: ""A"" },
      { y: 0, x: 1, h: 1, w: 1, moved: true, i: ""B"" },
      { y: 0, x: 12, h: 1, w: 1, i: ""C"" }
    ]);
  })",319,344,snuts
/test/spec/utils-test.js,OvercommentedTest,"{'startLine':346,'endLine':375}","it(""Moves one element to another should cause moving down panels, vert compact, example 1"", () => {
    // | A | B |
    // |C|  D  |
    const layout = [
      { x: 0, y: 0, w: 2, h: 1, i: ""A"" },
      { x: 2, y: 0, w: 2, h: 1, i: ""B"" },
      { x: 0, y: 1, w: 1, h: 1, i: ""C"" },
      { x: 1, y: 1, w: 3, h: 1, i: ""D"" }
    ];
    // move B left slightly so it collides with A; can cause C to jump above A
    // this test will check that that does not happen
    const itemB = layout[1];
    expect(
      compactAndMove(
        layout,
        itemB,
        1,
        0, // x, y
        true, // isUserAction
        false, //  preventCollision
        ""vertical"",
        4 // compactType, cols
      )
    ).toEqual([
      expect.objectContaining({ x: 0, y: 1, w: 2, h: 1, i: ""A"" }),
      expect.objectContaining({ x: 1, y: 0, w: 2, h: 1, i: ""B"" }),
      expect.objectContaining({ x: 0, y: 2, w: 1, h: 1, i: ""C"" }),
      expect.objectContaining({ x: 1, y: 2, w: 3, h: 1, i: ""D"" })
    ]);
  })",346,375,snuts
/test/spec/utils-test.js,OvercommentedTest,"{'startLine':377,'endLine':406}","it(""Moves one element to another should cause moving down panels, vert compact, example 2"", () => {
    // | A |
    // |B|C|
    //   | |
    //
    // Moving C above A should not move B above A
    const layout = [
      { x: 0, y: 0, w: 2, h: 1, i: ""A"" },
      { x: 0, y: 1, w: 1, h: 1, i: ""B"" },
      { x: 1, y: 1, w: 1, h: 2, i: ""C"" }
    ];
    // Move C up.
    const itemB = layout[2];
    expect(
      compactAndMove(
        layout,
        itemB,
        1,
        0, // x, y
        true, // isUserAction
        false, //  preventCollision
        ""vertical"",
        4 // compactType, cols
      )
    ).toEqual([
      expect.objectContaining({ x: 0, y: 2, w: 2, h: 1, i: ""A"" }),
      expect.objectContaining({ x: 0, y: 3, w: 1, h: 1, i: ""B"" }),
      expect.objectContaining({ x: 1, y: 0, w: 1, h: 2, i: ""C"" })
    ]);
  })",377,406,snuts
/test/spec/utils-test.js,OvercommentedTest,"{'startLine':408,'endLine':434}","it(""Prevent collision"", () => {
    const layout = [
      { x: 0, y: 0, w: 1, h: 10, i: ""A"" },
      { x: 0, y: 10, w: 1, h: 1, i: ""B"" },
      { x: 0, y: 11, w: 1, h: 1, i: ""C"" }
    ];
    // Move A down by 2. This will collide with B and C so
    // the layout should be unchanged
    const itemA = layout[0];
    const modifiedLayout = moveElement(
      layout,
      itemA,
      0, // x
      2, // y
      true, // isUserAction
      true, // preventCollision
      null, // compactType
      10 // cols
    );
    expect(Object.is(layout, modifiedLayout)).toBe(true);

    expect(layout).toEqual([
      expect.objectContaining({ x: 0, y: 0, w: 1, h: 10, i: ""A"" }),
      expect.objectContaining({ x: 0, y: 10, w: 1, h: 1, i: ""B"" }),
      expect.objectContaining({ x: 0, y: 11, w: 1, h: 1, i: ""C"" })
    ]);
  })",408,434,snuts
/test/spec/utils-test.js,OvercommentedTest,"{'startLine':436,'endLine':461}","it(""Allow overlapping the grid items"", () => {
    const layout = [
      { x: 0, y: 0, w: 1, h: 10, i: ""A"" },
      { x: 0, y: 10, w: 1, h: 1, i: ""B"" },
      { x: 0, y: 11, w: 1, h: 1, i: ""C"" }
    ];
    // Move A down by 2. Both B and C should remain in same position
    const itemA = layout[0];
    expect(
      moveElement(
        layout,
        itemA,
        0,
        2, // x, y
        true, // isUserAction
        false, // preventCollision
        null,
        10, // compactType, cols
        true // allowOverlap
      )
    ).toEqual([
      expect.objectContaining({ x: 0, y: 2, w: 1, h: 10, i: ""A"" }),
      expect.objectContaining({ x: 0, y: 10, w: 1, h: 1, i: ""B"" }),
      expect.objectContaining({ x: 0, y: 11, w: 1, h: 1, i: ""C"" })
    ]);
  })",436,461,snuts
/test/spec/utils-test.js,OvercommentedTest,"{'startLine':463,'endLine':483}","it(""Layout is cloned when using allowOverlap (#1606)"", () => {
    const layout = [
      { x: 0, y: 0, w: 1, h: 10, i: ""A"" },
      { x: 0, y: 10, w: 1, h: 1, i: ""B"" },
      { x: 0, y: 11, w: 1, h: 1, i: ""C"" }
    ];
    // Move A down by 2. Both B and C should remain in same position
    const itemA = layout[0];
    const modifiedLayout = moveElement(
      layout,
      itemA,
      0,
      2, // x, y
      true, // isUserAction
      false, // preventCollision
      null,
      10, // compactType, cols
      true // allowOverlap
    );
    expect(Object.is(layout, modifiedLayout)).toBe(false);
  })",463,483,snuts
/test/spec/utils-test.js,OvercommentedTest,"{'startLine':487,'endLine':525}","it(""Uses correct y-coordinate offset when moving item down due to collision north (#2173)"", () => {
    // This test verifies the fix for issue #2173
    // Bug: when collisionNorth is true during vertical compaction, the code used
    // collidesWith.y + 1 instead of itemToMove.y + 1, causing items to jump to wrong positions.
    //
    // Layout scenario:
    // - A at y=0, h=6: a tall item that blocks the space above B
    // - B at y=5, h=2: the item that was moved (collidesWith) - note: overlaps with A's bottom
    // - C at y=7, h=2: the item that needs to move away (itemToMove)
    //
    // When C tries to move above B, it collides with A (collisionNorth).
    // C should move down from its own position (y=7 -> y=8), not from B's position.
    const layout = [
      { x: 0, y: 0, w: 1, h: 6, i: ""A"" },
      { x: 0, y: 5, w: 1, h: 2, i: ""B"" }, // collidesWith - positioned to trigger collision
      { x: 0, y: 7, w: 1, h: 2, i: ""C"" } // itemToMove
    ];
    const collidesWith = layout[1]; // B
    const itemToMove = layout[2]; // C

    const result = moveElementAwayFromCollision(
      layout,
      collidesWith,
      itemToMove,
      true, // isUserAction - required to trigger the collisionNorth branch
      ""vertical"", // compactType
      10 // cols
    );

    // Find itemToMove (C) in the result
    const movedItem = result.find(item => item.i === ""C"");
    expect(movedItem).toBeDefined();

    // With the bug (collidesWith.y + 1 = 5 + 1 = 6), C would be at y=6
    // With the fix (itemToMove.y + 1 = 7 + 1 = 8), C should be at y=8
    // C should move down from its own position, not jump to collidesWith.y + 1
    // $FlowFixMe: movedItem is checked above
    expect(movedItem.y).toBe(8);
  })",487,525,snuts
