file,type,line,method,methodStart,methodEnd,source
/test/zones/invalid.test.js,AnonymousTest,"{'startLine':4,'endLine':15}","test(""InvalidZone"", () => {
  const zone = new InvalidZone(""foo"");

  expect(zone.type).toBe(""invalid"");
  expect(zone.name).toBe(""foo"");
  expect(zone.offsetName()).toBe(null); // the abstract class states this returns a string, yet InvalidZones return null :(
  expect(zone.formatOffset(0, ""short"")).toBe("""");
  expect(zone.isUniversal).toBe(false);
  expect(zone.offset()).toBe(NaN);
  expect(zone.isValid).toBe(false);
  expect(zone.equals(zone)).toBe(false); // always false even if it has the same name
})",4,15,snuts
/test/zones/invalid.test.js,SubOptimalAssert,"{'startLine':9,'endLine':9}","test(""InvalidZone"", () => {
  const zone = new InvalidZone(""foo"");

  expect(zone.type).toBe(""invalid"");
  expect(zone.name).toBe(""foo"");
  expect(zone.offsetName()).toBe(null); // the abstract class states this returns a string, yet InvalidZones return null :(
  expect(zone.formatOffset(0, ""short"")).toBe("""");
  expect(zone.isUniversal).toBe(false);
  expect(zone.offset()).toBe(NaN);
  expect(zone.isValid).toBe(false);
  expect(zone.equals(zone)).toBe(false); // always false even if it has the same name
})",4,15,snuts
/test/zones/fixedOffset.test.js,SubOptimalAssert,"{'startLine':36,'endLine':36}","test(""FixedOffsetZone.parseSpecifier returns null for invalid data"", () => {
  expect(FixedOffsetZone.parseSpecifier()).toBe(null);
  expect(FixedOffsetZone.parseSpecifier(null)).toBe(null);
  expect(FixedOffsetZone.parseSpecifier("""")).toBe(null);
  expect(FixedOffsetZone.parseSpecifier(""foo"")).toBe(null);
  expect(FixedOffsetZone.parseSpecifier(""UTC+blorp"")).toBe(null);
})",35,41,snuts
/test/zones/fixedOffset.test.js,SubOptimalAssert,"{'startLine':37,'endLine':37}","test(""FixedOffsetZone.parseSpecifier returns null for invalid data"", () => {
  expect(FixedOffsetZone.parseSpecifier()).toBe(null);
  expect(FixedOffsetZone.parseSpecifier(null)).toBe(null);
  expect(FixedOffsetZone.parseSpecifier("""")).toBe(null);
  expect(FixedOffsetZone.parseSpecifier(""foo"")).toBe(null);
  expect(FixedOffsetZone.parseSpecifier(""UTC+blorp"")).toBe(null);
})",35,41,snuts
/test/zones/fixedOffset.test.js,SubOptimalAssert,"{'startLine':38,'endLine':38}","test(""FixedOffsetZone.parseSpecifier returns null for invalid data"", () => {
  expect(FixedOffsetZone.parseSpecifier()).toBe(null);
  expect(FixedOffsetZone.parseSpecifier(null)).toBe(null);
  expect(FixedOffsetZone.parseSpecifier("""")).toBe(null);
  expect(FixedOffsetZone.parseSpecifier(""foo"")).toBe(null);
  expect(FixedOffsetZone.parseSpecifier(""UTC+blorp"")).toBe(null);
})",35,41,snuts
/test/zones/fixedOffset.test.js,SubOptimalAssert,"{'startLine':39,'endLine':39}","test(""FixedOffsetZone.parseSpecifier returns null for invalid data"", () => {
  expect(FixedOffsetZone.parseSpecifier()).toBe(null);
  expect(FixedOffsetZone.parseSpecifier(null)).toBe(null);
  expect(FixedOffsetZone.parseSpecifier("""")).toBe(null);
  expect(FixedOffsetZone.parseSpecifier(""foo"")).toBe(null);
  expect(FixedOffsetZone.parseSpecifier(""UTC+blorp"")).toBe(null);
})",35,41,snuts
/test/zones/fixedOffset.test.js,SubOptimalAssert,"{'startLine':40,'endLine':40}","test(""FixedOffsetZone.parseSpecifier returns null for invalid data"", () => {
  expect(FixedOffsetZone.parseSpecifier()).toBe(null);
  expect(FixedOffsetZone.parseSpecifier(null)).toBe(null);
  expect(FixedOffsetZone.parseSpecifier("""")).toBe(null);
  expect(FixedOffsetZone.parseSpecifier(""foo"")).toBe(null);
  expect(FixedOffsetZone.parseSpecifier(""UTC+blorp"")).toBe(null);
})",35,41,snuts
/test/zones/IANA.test.js,AnonymousTest,"{'startLine':19,'endLine':29}","test(""IANAZone.isValidSpecifier"", () => {
  expect(IANAZone.isValidSpecifier(""America/New_York"")).toBe(true);
  // this used to return true but now returns false, because we just defer to isValidZone
  expect(IANAZone.isValidSpecifier(""Fantasia/Castle"")).toBe(false);
  expect(IANAZone.isValidSpecifier(""Sport~~blorp"")).toBe(false);
  expect(IANAZone.isValidSpecifier(""Etc/GMT+8"")).toBe(true);
  expect(IANAZone.isValidSpecifier(""Etc/GMT-8"")).toBe(true);
  expect(IANAZone.isValidSpecifier(""Etc/GMT-0"")).toBe(true);
  expect(IANAZone.isValidSpecifier(""Etc/GMT-1"")).toBe(true);
  expect(IANAZone.isValidSpecifier(null)).toBe(false);
})",19,29,snuts
/test/zones/IANA.test.js,AnonymousTest,"{'startLine':31,'endLine':39}","test(""IANAZone.isValidZone"", () => {
  expect(IANAZone.isValidZone(""America/New_York"")).toBe(true);
  expect(IANAZone.isValidZone(""Fantasia/Castle"")).toBe(false);
  expect(IANAZone.isValidZone(""Sport~~blorp"")).toBe(false);
  expect(IANAZone.isValidZone("""")).toBe(false);
  expect(IANAZone.isValidZone(undefined)).toBe(false);
  expect(IANAZone.isValidZone(null)).toBe(false);
  expect(IANAZone.isValidZone(4)).toBe(false);
})",31,39,snuts
/test/interval/many.test.js,AnonymousTest,"{'startLine':220,'endLine':231}","test(""Interval#engulfs"", () => {
  const i = todayFrom(9, 12);

  expect(i.engulfs(todayFrom(13, 15), ""wholly later"")).toBeFalsy();
  expect(i.engulfs(todayFrom(11, 15), ""partially later"")).toBeFalsy();
  expect(i.engulfs(todayFrom(6, 8), ""wholly earlier"")).toBeFalsy();
  expect(i.engulfs(todayFrom(6, 10), ""partially earlier"")).toBeFalsy();
  expect(i.engulfs(todayFrom(8, 13), ""engulfed"")).toBeFalsy();

  expect(i.engulfs(todayFrom(10, 11), ""engulfing"")).toBeTruthy();
  expect(i.engulfs(todayFrom(9, 12), ""equal"")).toBeTruthy();
})",220,231,snuts
