"file","type","smells","itCount","describeCount"
"tests/utils.test.js","AnonymousTest","[{""startLine"":7,""endLine"":39}]",2,1
"tests/strictMode.test.js","VerboseStatement","[{""startLine"":335,""endLine"":415}]",9,0
"tests/shouldTrack.test.js","AnonymousTest","[{""startLine"":94,""endLine"":100}]",13,3
"tests/shouldTrack.test.js","AnonymousTest","[{""startLine"":102,""endLine"":108}]",13,3
"tests/shouldTrack.test.js","IdenticalTestDescription","[{""startLine"":130,""endLine"":134}]",13,3
"tests/shouldTrack.test.js","IdenticalTestDescription","[{""startLine"":136,""endLine"":140}]",13,3
"tests/normalizeOptions.test.js","NonFunctionalStatement","[{""startLine"":10,""endLine"":10}]",2,0
"tests/logOwnerReasons.test.js","IdenticalTestDescription","[{""startLine"":250,""endLine"":270}]",8,2
"tests/logOwnerReasons.test.js","IdenticalTestDescription","[{""startLine"":272,""endLine"":291}]",8,2
"tests/logOwnerReasons.test.js","IdenticalTestDescription","[{""startLine"":293,""endLine"":326}]",8,2
"tests/logOwnerReasons.test.js","ConditionalTestLogic","[{""startLine"":150,""endLine"":152}]",8,2
"tests/index.test.js","GeneralFixture","[{""startLine"":9,""endLine"":9}]",2,0
"tests/getUpdateInfo.test.js","AnonymousTest","[{""startLine"":48,""endLine"":71}]",15,1
"tests/getUpdateInfo.test.js","AnonymousTest","[{""startLine"":73,""endLine"":96}]",15,1
"tests/getUpdateInfo.test.js","AnonymousTest","[{""startLine"":123,""endLine"":153}]",15,1
"tests/getUpdateInfo.test.js","AnonymousTest","[{""startLine"":155,""endLine"":185}]",15,1
"tests/getUpdateInfo.test.js","NonFunctionalStatement","[{""startLine"":337,""endLine"":337}]",15,1
"tests/getUpdateInfo.test.js","NonFunctionalStatement","[{""startLine"":339,""endLine"":339}]",15,1
"tests/getUpdateInfo.test.js","NonFunctionalStatement","[{""startLine"":370,""endLine"":370}]",15,1
"tests/getUpdateInfo.test.js","NonFunctionalStatement","[{""startLine"":372,""endLine"":372}]",15,1
"tests/getUpdateInfo.test.js","NonFunctionalStatement","[{""startLine"":401,""endLine"":401}]",15,1
"tests/getUpdateInfo.test.js","NonFunctionalStatement","[{""startLine"":402,""endLine"":402}]",15,1
"tests/getUpdateInfo.test.js","NonFunctionalStatement","[{""startLine"":403,""endLine"":403}]",15,1
"tests/getUpdateInfo.test.js","NonFunctionalStatement","[{""startLine"":404,""endLine"":404}]",15,1
"tests/getUpdateInfo.test.js","NonFunctionalStatement","[{""startLine"":440,""endLine"":440}]",15,1
"tests/getUpdateInfo.test.js","NonFunctionalStatement","[{""startLine"":442,""endLine"":442}]",15,1
"tests/findObjectsDifferences.test.js","IdenticalTestDescription","[{""startLine"":111,""endLine"":116}]",16,2
"tests/findObjectsDifferences.test.js","IdenticalTestDescription","[{""startLine"":118,""endLine"":123}]",16,2
"tests/findObjectsDifferences.test.js","IdenticalTestDescription","[{""startLine"":125,""endLine"":137}]",16,2
"tests/findObjectsDifferences.test.js","IdenticalTestDescription","[{""startLine"":139,""endLine"":151}]",16,2
"tests/findObjectsDifferences.test.js","IdenticalTestDescription","[{""startLine"":153,""endLine"":166}]",16,2
"tests/findObjectsDifferences.test.js","NonFunctionalStatement","[{""startLine"":70,""endLine"":70}]",16,2
"tests/findObjectsDifferences.test.js","NonFunctionalStatement","[{""startLine"":71,""endLine"":71}]",16,2
"tests/findObjectsDifferences.test.js","NonFunctionalStatement","[{""startLine"":84,""endLine"":84}]",16,2
"tests/findObjectsDifferences.test.js","NonFunctionalStatement","[{""startLine"":85,""endLine"":85}]",16,2
"tests/defaultNotifier.test.js","NonFunctionalStatement","[{""startLine"":316,""endLine"":316}]",4,11
"tests/defaultNotifier.test.js","NonFunctionalStatement","[{""startLine"":318,""endLine"":318}]",4,11
"tests/defaultNotifier.test.js","NonFunctionalStatement","[{""startLine"":340,""endLine"":340}]",4,11
"tests/defaultNotifier.test.js","NonFunctionalStatement","[{""startLine"":342,""endLine"":342}]",4,11
"tests/calculateDeepEqualDiffs.test.js","AnonymousTest","[{""startLine"":6,""endLine"":13}]",30,1
"tests/calculateDeepEqualDiffs.test.js","AnonymousTest","[{""startLine"":37,""endLine"":51}]",30,1
"tests/calculateDeepEqualDiffs.test.js","AnonymousTest","[{""startLine"":85,""endLine"":99}]",30,1
"tests/calculateDeepEqualDiffs.test.js","AnonymousTest","[{""startLine"":101,""endLine"":118}]",30,1
"tests/calculateDeepEqualDiffs.test.js","AnonymousTest","[{""startLine"":120,""endLine"":134}]",30,1
"tests/calculateDeepEqualDiffs.test.js","AnonymousTest","[{""startLine"":155,""endLine"":178}]",30,1
"tests/calculateDeepEqualDiffs.test.js","AnonymousTest","[{""startLine"":386,""endLine"":403}]",30,1
"tests/calculateDeepEqualDiffs.test.js","AnonymousTest","[{""startLine"":405,""endLine"":419}]",30,1
"tests/calculateDeepEqualDiffs.test.js","AnonymousTest","[{""startLine"":421,""endLine"":461}]",30,1
"tests/calculateDeepEqualDiffs.test.js","AnonymousTest","[{""startLine"":463,""endLine"":477}]",30,1
"tests/calculateDeepEqualDiffs.test.js","NonFunctionalStatement","[{""startLine"":387,""endLine"":387}]",30,1
"tests/calculateDeepEqualDiffs.test.js","NonFunctionalStatement","[{""startLine"":388,""endLine"":388}]",30,1
"tests/calculateDeepEqualDiffs.test.js","NonFunctionalStatement","[{""startLine"":406,""endLine"":406}]",30,1
"tests/calculateDeepEqualDiffs.test.js","NonFunctionalStatement","[{""startLine"":407,""endLine"":407}]",30,1
"tests/calculateDeepEqualDiffs.test.js","NonFunctionalStatement","[{""startLine"":464,""endLine"":464}]",30,1
"tests/calculateDeepEqualDiffs.test.js","NonFunctionalStatement","[{""startLine"":465,""endLine"":465}]",30,1
"tests/patches/patchMemoComponent.test.js","ConditionalTestLogic","[{""startLine"":136,""endLine"":138}]",8,0
"tests/patches/patchForwardRefComponent.test.js","AnonymousTest","[{""startLine"":19,""endLine"":64}]",2,0
"tests/patches/patchForwardRefComponent.test.js","ConditionalTestLogic","[{""startLine"":32,""endLine"":34}]",2,0
"tests/patches/patchForwardRefComponent.test.js","ConditionalTestLogic","[{""startLine"":80,""endLine"":82}]",2,0
"tests/patches/patchClassComponent.test.js","AnonymousTest","[{""startLine"":57,""endLine"":72}]",14,0
"tests/patches/patchClassComponent.test.js","AnonymousTest","[{""startLine"":74,""endLine"":90}]",14,0
"tests/patches/patchClassComponent.test.js","AnonymousTest","[{""startLine"":92,""endLine"":112}]",14,0
"tests/librariesTests/styled-components.test.js","AnonymousTest","[{""startLine"":21,""endLine"":46}]",4,0
"tests/librariesTests/react-router-dom.test.js","AnonymousTest","[{""startLine"":29,""endLine"":92}]",2,1
"tests/librariesTests/react-router-dom.test.js","AnonymousTest","[{""startLine"":94,""endLine"":161}]",2,1
"tests/librariesTests/react-router-dom.test.js","ConditionalTestLogic","[{""startLine"":98,""endLine"":100}]",2,1
"tests/librariesTests/react-router-dom.test.js","ConditionalTestLogic","[{""startLine"":102,""endLine"":104}]",2,1
"tests/librariesTests/react-redux.test.js","IdenticalTestDescription","[{""startLine"":188,""endLine"":214}]",6,2
"tests/librariesTests/react-redux.test.js","IdenticalTestDescription","[{""startLine"":216,""endLine"":255}]",6,2
"tests/librariesTests/react-redux.test.js","IdenticalTestDescription","[{""startLine"":257,""endLine"":296}]",6,2
"tests/hooks/useSyncExternalStore.test.js","AnonymousTest","[{""startLine"":39,""endLine"":71}]",2,1
"tests/hooks/useSyncExternalStore.test.js","AnonymousTest","[{""startLine"":73,""endLine"":118}]",2,1
"tests/hooks/useState.test.js","AnonymousTest","[{""startLine"":135,""endLine"":161}]",9,2
"tests/hooks/useState.test.js","AnonymousTest","[{""startLine"":188,""endLine"":219}]",9,2
"tests/hooks/useReducer.test.js","AnonymousTest","[{""startLine"":21,""endLine"":50}]",3,1
"tests/hooks/useReducer.test.js","AnonymousTest","[{""startLine"":52,""endLine"":89}]",3,1
"tests/hooks/useReducer.test.js","AnonymousTest","[{""startLine"":91,""endLine"":128}]",3,1
"tests/hooks/useContext.test.js","AnonymousTest","[{""startLine"":21,""endLine"":54}]",3,1
"tests/hooks/hooks.test.js","AnonymousTest","[{""startLine"":24,""endLine"":41}]",8,3
"tests/hooks/hooks.test.js","AnonymousTest","[{""startLine"":83,""endLine"":113}]",8,3
"tests/hooks/hooks.test.js","AnonymousTest","[{""startLine"":165,""endLine"":182}]",8,3
"tests/hooks/hooks.test.js","AnonymousTest","[{""startLine"":184,""endLine"":201}]",8,3
"tests/hooks/hooks.test.js","IdenticalTestDescription","[{""startLine"":165,""endLine"":182}]",8,3
"tests/hooks/hooks.test.js","IdenticalTestDescription","[{""startLine"":203,""endLine"":222}]",8,3
"tests/hooks/childrenUsingHookResults.test.js","AnonymousTest","[{""startLine"":26,""endLine"":86}]",3,1
