file,type,line,method,methodStart,methodEnd,source
/tests/useColor.test.js,SubOptimalAssert,"{'startLine':41,'endLine':41}","test('when NO_COLOR empty then returns undefined', () => {
    process.env.NO_COLOR = '';
    expect(useColor()).toBe(undefined);
  })",39,42,snuts
/tests/program.test.js,AnonymousTest,"{'startLine':25,'endLine':27}","test('program', () => {
  checkClass(program, 'Command');
})",25,27,snuts
/tests/program.test.js,AnonymousTest,"{'startLine':29,'endLine':31}","test('Command', () => {
  checkClass(new Command('name'), 'Command');
})",29,31,snuts
/tests/program.test.js,AnonymousTest,"{'startLine':33,'endLine':35}","test('Option', () => {
  checkClass(new Option('-e, --example', 'description'), 'Option');
})",33,35,snuts
/tests/program.test.js,AnonymousTest,"{'startLine':37,'endLine':39}","test('Argument', () => {
  checkClass(new Argument('<foo>', 'description'), 'Argument');
})",37,39,snuts
/tests/program.test.js,AnonymousTest,"{'startLine':41,'endLine':43}","test('Help', () => {
  checkClass(new Help(), 'Help');
})",41,43,snuts
/tests/program.test.js,AnonymousTest,"{'startLine':45,'endLine':47}","test('CommanderError', () => {
  checkClass(new CommanderError(1, 'code', 'failed'), 'CommanderError');
})",45,47,snuts
/tests/program.test.js,AnonymousTest,"{'startLine':49,'endLine':51}","test('InvalidArgumentError', () => {
  checkClass(new InvalidArgumentError('failed'), 'InvalidArgumentError');
})",49,51,snuts
/tests/program.test.js,AnonymousTest,"{'startLine':53,'endLine':56}","test('InvalidOptionArgumentError', () => {
  // Deprecated
  checkClass(new InvalidOptionArgumentError('failed'), 'InvalidArgumentError');
})",53,56,snuts
/tests/program.test.js,AnonymousTest,"{'startLine':58,'endLine':60}","test('createCommand', () => {
  checkClass(createCommand('foo'), 'Command');
})",58,60,snuts
/tests/program.test.js,AnonymousTest,"{'startLine':62,'endLine':64}","test('createOption', () => {
  checkClass(createOption('-e, --example', 'description'), 'Option');
})",62,64,snuts
/tests/program.test.js,AnonymousTest,"{'startLine':66,'endLine':68}","test('createArgument', () => {
  checkClass(createArgument('<foo>', 'description'), 'Argument');
})",66,68,snuts
/tests/options.version.test.js,NonFunctionalStatement,"{'startLine':161,'endLine':161}","test('when have .version+version and specify --version then version displayed', () => {
    const myVersion = '1.2.3';
    const writeMock = jest.fn();
    const program = new commander.Command();
    program
      .exitOverride()
      .configureOutput({ writeOut: writeMock })
      .version(myVersion)
      .command('version')
      .action(() => {});

    expect(() => {
      program.parse(['node', 'test', '--version']);
    }).toThrow(myVersion);
    expect(writeMock).toHaveBeenCalledWith(`${myVersion}\n`);
  })",152,167,snuts
/tests/options.variadic.test.js,IdenticalTestDescription,"{'startLine':133,'endLine':139}","test('when variadic with one value then set in array', () => {
    const program = new commander.Command();
    program.option('-o,--optional [value...]');

    program.parse(['--optional', 'one'], { from: 'user' });
    expect(program.opts().optional).toEqual(['one']);
  })",133,139,snuts
/tests/options.variadic.test.js,IdenticalTestDescription,"{'startLine':141,'endLine':147}","test('when variadic with two values then set in array', () => {
    const program = new commander.Command();
    program.option('-o,--optional [value...]');

    program.parse(['--optional', 'one', 'two'], { from: 'user' });
    expect(program.opts().optional).toEqual(['one', 'two']);
  })",141,147,snuts
/tests/options.values.test.js,IdenticalTestDescription,"{'startLine':52,'endLine':56}","test('when short flag followed by value then value is as specified', () => {
    const program = createPortProgram();
    program.parse('node test -p 80'.split(' '));
    expect(program.opts().port).toBe('80');
  })",52,56,snuts
/tests/options.values.test.js,IdenticalTestDescription,"{'startLine':58,'endLine':62}","test('when short flag concatenated with value then value is as specified', () => {
    const program = createPortProgram();
    program.parse('node test -p80'.split(' '));
    expect(program.opts().port).toBe('80');
  })",58,62,snuts
/tests/options.values.test.js,IdenticalTestDescription,"{'startLine':64,'endLine':68}","test('when long flag followed by value then value is as specified', () => {
    const program = createPortProgram();
    program.parse('node test --port 80'.split(' '));
    expect(program.opts().port).toBe('80');
  })",64,68,snuts
/tests/options.values.test.js,IdenticalTestDescription,"{'startLine':70,'endLine':74}","test('when long flag = value then value is as specified', () => {
    const program = createPortProgram();
    program.parse('node test --port=80'.split(' '));
    expect(program.opts().port).toBe('80');
  })",70,74,snuts
/tests/options.required.test.js,IdenticalTestDescription,"{'startLine':49,'endLine':56}","test('when option specified then value is as specified', () => {
    const defaultValue = 'default';
    const program = new commander.Command();
    program.option('--cheese <type>', 'cheese type', defaultValue);
    const cheeseType = 'blue';
    program.parse(['node', 'test', '--cheese', cheeseType]);
    expect(program.opts().cheese).toBe(cheeseType);
  })",49,56,snuts
/tests/options.required.test.js,IdenticalTestDescription,"{'startLine':58,'endLine':75}","test('when option value not specified then error', () => {
    // Arrange. Mock error routine to allow interception.
    const mockOptionMissingArgument = jest.fn(() => {
      throw new Error('optionMissingArgument');
    });
    const defaultValue = 'default';
    const program = new commander.Command();
    program.optionMissingArgument = mockOptionMissingArgument;
    program.option('--cheese <type>', 'cheese type', defaultValue);

    // Act. The throw is due to the above mock, and not default behaviour.
    expect(() => {
      program.parse(['node', 'test', '--cheese']);
    }).toThrow();

    // Assert
    expect(mockOptionMissingArgument).toHaveBeenCalled();
  })",58,75,snuts
