file,type,line,method,methodStart,methodEnd,source
/tests/test_fetch.js,AnonymousTest,"{'startLine':66,'endLine':73}","it('no match', async () => {
    nock('http://example.test').get('/').reply()

    await assertRejects(
      fetch('http://example.test/wrong-path'),
      /Nock: No match for request/,
    )
  })",66,73,snuts
/tests/test_fetch.js,IdenticalTestDescription,"{'startLine':155,'endLine':167}","it('should not mess the Headers object', async () => {
    nock('https://api.test.com', {
      reqheaders: { 'Content-Type': 'application/json' },
    })
      .get('/data')
      .times(2)
      .reply(200)

    const headers = new Headers({ 'Content-Type': 'application/json' })

    await fetch('https://api.test.com/data', { headers })
    await fetch('https://api.test.com/data', { headers })
  })",155,167,snuts
/tests/test_fetch.js,VerboseStatement,"{'startLine':568,'endLine':604}","it('records and replays deflated nocks correctly', async () => {
      const exampleText = '<html><body>example</body></html>'

      const { origin } = await startHttpServer((request, response) => {
        const body = zlib.deflateSync(exampleText)

        response.writeHead(200, { 'content-encoding': 'deflate' })
        response.end(body)
      })

      nock.restore()
      nock.recorder.clear()
      expect(nock.recorder.play()).to.be.empty()

      nock.recorder.rec({
        dont_print: true,
        output_objects: true,
      })

      const response1 = await fetch(origin)
      expect(await response1.text()).to.equal(exampleText)
      expect(response1.headers.get('content-encoding')).to.equal('deflate')

      nock.restore()
      const recorded = nock.recorder.play()
      nock.recorder.clear()
      nock.activate()

      expect(recorded).to.have.lengthOf(1)
      const nocks = nock.define(recorded)

      const response2 = await fetch(origin)
      expect(await response2.text()).to.equal(exampleText)
      expect(response1.headers.get('content-encoding')).to.equal('deflate')

      nocks.forEach(nock => nock.done())
    })",568,604,snuts
/tests/test_destroy.js,NonFunctionalStatement,"{'startLine':45,'endLine':45}","it('should not emit an response if destroyed first', done => {
    nock('http://example.test').get('/').reply()

    const req = http
      .get('http://example.test/', () => {
        expect.fail('should not emit a response')
      })
      .on('error', () => {}) // listen for error so ""socket hang up"" doesn't bubble
      .on('socket', () => {
        setImmediate(() => req.destroy())
      })

    // give the `setImmediate` calls enough time to cycle.
    setTimeout(() => done(), 10)
  })",38,52,snuts
/tests/test_common.js,AnonymousTest,"{'startLine':150,'endLine':160}","it('`isJSONContent()`', () => {
  expect(common.isJSONContent({ 'content-type': 'application/json' })).to.equal(
    true,
  )

  expect(
    common.isJSONContent({ 'content-type': 'application/json; charset=utf-8' }),
  ).to.equal(true)

  expect(common.isJSONContent({ 'content-type': 'text/plain' })).to.equal(false)
})",150,160,snuts
/tests/test_common.js,AnonymousTest,"{'startLine':423,'endLine':462}","it('`headersArrayToObject()`', () => {
  const headers = [
    'Content-Type',
    'application/json; charset=utf-8',
    'Last-Modified',
    'foobar',
    'Expires',
    'fizbuzz',
  ]

  expect(common.headersArrayToObject(headers)).to.deep.equal({
    'content-type': 'application/json; charset=utf-8',
    'last-modified': 'foobar',
    expires: 'fizbuzz',
  })

  const headersMultipleSetCookies = headers.concat([
    'Set-Cookie',
    'foo=bar; Domain=.github.com; Path=/',
    'Set-Cookie',
    'fiz=baz; Domain=.github.com; Path=/',
    'set-cookie',
    'foo=baz; Domain=.github.com; Path=/',
  ])

  expect(common.headersArrayToObject(headersMultipleSetCookies)).to.deep.equal({
    'content-type': 'application/json; charset=utf-8',
    'last-modified': 'foobar',
    expires: 'fizbuzz',
    'set-cookie': [
      'foo=bar; Domain=.github.com; Path=/',
      'fiz=baz; Domain=.github.com; Path=/',
      'foo=baz; Domain=.github.com; Path=/',
    ],
  })

  expect(() => common.headersArrayToObject(123)).to.throw(
    'Expected a header array',
  )
})",423,462,snuts
/tests/test_common.js,AnonymousTest,"{'startLine':541,'endLine':546}","it('custom Object', () => {
    function Foo() {
      this.a = 1
    }
    expect(isPlainObject(new Foo()), false)
  })",541,546,snuts
/tests/test_common.js,AnonymousTest,"{'startLine':548,'endLine':550}","it('Array', () => {
    expect(isPlainObject([1, 2, 3]), false)
  })",548,550,snuts
/tests/test_common.js,AnonymousTest,"{'startLine':552,'endLine':554}","it('Date', () => {
    expect(isPlainObject(new Date()), false)
  })",552,554,snuts
/tests/test_common.js,AnonymousTest,"{'startLine':556,'endLine':558}","it('RegExp', () => {
    expect(isPlainObject(/a/), false)
  })",556,558,snuts
/tests/test_common.js,AnonymousTest,"{'startLine':560,'endLine':562}","it('plain Object', () => {
    expect(isPlainObject({}), true)
  })",560,562,snuts
/tests/test_common.js,AnonymousTest,"{'startLine':564,'endLine':566}","it('null', () => {
    expect(isPlainObject(null), true)
  })",564,566,snuts
/tests/test_common.js,AnonymousTest,"{'startLine':568,'endLine':570}","it('null-Object /1', () => {
    expect(isPlainObject({ __proto__: null }), true)
  })",568,570,snuts
/tests/test_common.js,AnonymousTest,"{'startLine':572,'endLine':574}","it('null-Object /2', () => {
    expect(isPlainObject(Object.create(null)), true)
  })",572,574,snuts
/tests/test_common.js,AnonymousTest,"{'startLine':580,'endLine':582}","it('undefined', () => {
    expect(expand(undefined), undefined)
  })",580,582,snuts
/tests/test_common.js,AnonymousTest,"{'startLine':584,'endLine':586}","it('null', () => {
    expect(expand(null), null)
  })",584,586,snuts
/tests/test_common.js,AnonymousTest,"{'startLine':596,'endLine':598}","it('nested object', () => {
    expect(expand({ 'a.b': 4 })).deep.equal({ a: { b: 4 } })
  })",596,598,snuts
/tests/test_common.js,AnonymousTest,"{'startLine':600,'endLine':602}","it('nested object', () => {
    expect(expand({ 'a.b': 4, 'a.c': 5 })).deep.equal({ a: { b: 4, c: 5 } })
  })",600,602,snuts
/tests/test_common.js,AnonymousTest,"{'startLine':604,'endLine':609}","it('nested object', () => {
    expect(expand({ 'a.b': 4, 'b.a': 5 })).deep.equal({
      a: { b: 4 },
      b: { a: 5 },
    })
  })",604,609,snuts
/tests/test_common.js,AnonymousTest,"{'startLine':611,'endLine':613}","it('nested array', () => {
    expect(expand({ 'a.0': 4, 'a.1': 5 })).deep.equal({ a: [4, 5] })
  })",611,613,snuts
/tests/test_common.js,AnonymousTest,"{'startLine':615,'endLine':617}","it('array-like', () => {
    expect(expand({ 'a[0]': 4, 'a[1]': 5 })).deep.equal({ a: [4, 5] })
  })",615,617,snuts
/tests/test_common.js,AnonymousTest,"{'startLine':619,'endLine':623}","it('example', () => {
    expect(expand({ 'foo[bar][0]': 'baz' })).deep.equal({
      foo: { bar: ['baz'] },
    })
  })",619,623,snuts
/tests/test_common.js,IdenticalTestDescription,"{'startLine':584,'endLine':586}","it('null', () => {
    expect(expand(null), null)
  })",584,586,snuts
/tests/test_common.js,IdenticalTestDescription,"{'startLine':600,'endLine':602}","it('nested object', () => {
    expect(expand({ 'a.b': 4, 'a.c': 5 })).deep.equal({ a: { b: 4, c: 5 } })
  })",600,602,snuts
/tests/test_common.js,IdenticalTestDescription,"{'startLine':604,'endLine':609}","it('nested object', () => {
    expect(expand({ 'a.b': 4, 'b.a': 5 })).deep.equal({
      a: { b: 4 },
      b: { a: 5 },
    })
  })",604,609,snuts
/tests/test_common.js,NonFunctionalStatement,"{'startLine':492,'endLine':492}","it('should handle a single callback', async () => {
    // TODO: Only passing a callback isn't currently supported by Nock,
    // but should be in the future as Node allows it.
    const cb = () => {}

    const { options, callback } = common.normalizeClientRequestArgs(cb)

    expect(options).to.deep.equal({})
    expect(callback).to.equal(cb)
  })",489,498,snuts
/tests/test_back.js,IdenticalTestDescription,"{'startLine':494,'endLine':500}","it('should throw the expected exception when fs is not available', () => {
      const nockBackWithoutFs = proxyquire('../lib/back', { fs: null })
      nockBackWithoutFs.setMode('record')

      nockBackWithoutFs.fixtures = path.resolve(__dirname, 'fixtures')
      expect(() => nockBackWithoutFs('good_request.json')).to.throw('no fs')
    })",494,500,snuts
/tests/test_back.js,IdenticalTestDescription,"{'startLine':525,'endLine':549}","it('should record when configured correctly', done => {
      expect(fs.existsSync(fixtureLoc)).to.be.false()

      nockBack(fixture, nockDone => {
        startHttpServer(requestListener).then(server => {
          const request = http.request(
            {
              host: 'localhost',
              path: '/',
              port: server.address().port,
            },
            response => {
              nockDone()

              expect(response.statusCode).to.equal(217)
              expect(fs.existsSync(fixtureLoc)).to.be.true()
              done()
            },
          )

          request.on('error', () => expect.fail())
          request.end()
        })
      })
    })",525,549,snuts
/tests/test_back.js,IdenticalTestDescription,"{'startLine':551,'endLine':588}","it('should record the expected data', done => {
      nockBack(fixture, nockDone => {
        startHttpServer(requestListener).then(server => {
          const request = http.request(
            {
              host: 'localhost',
              path: '/',
              port: server.address().port,
              method: 'GET',
            },
            response => {
              response.once('end', async () => {
                nockDone()

                const fixtureContent = JSON.parse(
                  fs.readFileSync(fixtureLoc).toString('utf8'),
                )
                expect(fixtureContent).to.have.length(1)

                const [firstFixture] = fixtureContent
                expect(firstFixture).to.include({
                  method: 'GET',
                  path: '/',
                  status: 217,
                })

                done()
              })

              response.resume()
            },
          )

          request.on('error', err => expect.fail(err.message))
          request.end()
        })
      })
    })",551,588,snuts
/tests/test_back.js,IdenticalTestDescription,"{'startLine':592,'endLine':616}","it('can record twice', done => {
      expect(fs.existsSync(fixtureLoc)).to.be.false()

      nockBack(fixture, function (nockDone) {
        startHttpServer(requestListener).then(server => {
          const request = http.request(
            {
              host: 'localhost',
              path: '/',
              port: server.address().port,
            },
            response => {
              nockDone()

              expect(response.statusCode).to.equal(217)
              expect(fs.existsSync(fixtureLoc)).to.be.true()
              done()
            },
          )

          request.on('error', () => expect.fail())
          request.end()
        })
      })
    })",592,616,snuts
/tests/test_back.js,IdenticalTestDescription,"{'startLine':661,'endLine':689}","it('should filter after recording', done => {
      expect(fs.existsSync(fixtureLoc)).to.be.false()

      // You would do some filtering here, but for this test we'll just return
      // an empty array.
      const afterRecord = () => []

      nockBack(fixture, { afterRecord }, function (nockDone) {
        startHttpServer(requestListener).then(server => {
          const request = http.request(
            {
              host: 'localhost',
              path: '/',
              port: server.address().port,
            },
            response => {
              nockDone()

              expect(response.statusCode).to.equal(217)
              expect(fs.existsSync(fixtureLoc)).to.be.true()
              expect(this.scopes).to.be.empty()
              done()
            },
          )
          request.on('error', () => expect.fail())
          request.end()
        })
      })
    })",661,689,snuts
/tests/test_back.js,IdenticalTestDescription,"{'startLine':691,'endLine':719}","it('should format after recording', done => {
      expect(fs.existsSync(fixtureLoc)).to.be.false()

      const afterRecord = () => 'string-response'

      nockBack(fixture, { afterRecord }, function (nockDone) {
        startHttpServer(requestListener).then(server => {
          const request = http.request(
            {
              host: 'localhost',
              path: '/',
              port: server.address().port,
            },
            response => {
              nockDone()

              expect(response.statusCode).to.equal(217)
              expect(fs.existsSync(fixtureLoc)).to.be.true()
              expect(fs.readFileSync(fixtureLoc, 'utf8')).to.equal(
                'string-response',
              )
              done()
            },
          )
          request.on('error', () => expect.fail())
          request.end()
        })
      })
    })",691,719,snuts
/tests/test_back.js,IdenticalTestDescription,"{'startLine':721,'endLine':756}","it('should pass custom options to recorder', done => {
      nockBack(
        fixture,
        { recorder: { enable_reqheaders_recording: true } },
        nockDone => {
          startHttpServer(requestListener).then(server => {
            const request = http.request(
              {
                host: 'localhost',
                path: '/',
                port: server.address().port,
                method: 'GET',
              },
              response => {
                response.once('end', async () => {
                  nockDone()

                  const fixtureContent = JSON.parse(
                    fs.readFileSync(fixtureLoc).toString('utf8'),
                  )

                  expect(fixtureContent).to.have.length(1)
                  expect(fixtureContent[0].reqheaders).to.be.ok()

                  done()
                })
                response.resume()
              },
            )

            request.on('error', () => expect.fail())
            request.end()
          })
        },
      )
    })",721,756,snuts
/tests/test_back.js,IdenticalTestDescription,"{'startLine':758,'endLine':764}","it('should throw the expected exception when fs is not available', () => {
      const nockBackWithoutFs = proxyquire('../lib/back', { fs: null })
      nockBackWithoutFs.setMode('update')

      nockBackWithoutFs.fixtures = path.resolve(__dirname, 'fixtures')
      expect(() => nockBackWithoutFs('good_request.json')).to.throw('no fs')
    })",758,764,snuts
/tests/test_abort_signal.js,NonFunctionalStatement,"{'startLine':15,'endLine':15}",Unknown,,,snuts
/tests/test_abort_signal.js,NonFunctionalStatement,"{'startLine':95,'endLine':95}","it('aborts a request if the signal is aborted after the response headers have been read', async () => {
    const abortController = new AbortController()
    const scope = nock('http://example.test').post('/form').reply(201, 'OK!')

    const makeRequest = () =>
      new Promise((resolve, reject) => {
        http
          .request('http://example.test/form', {
            signal: abortController.signal,
            method: 'POST',
          })
          .on('response', res => {
            abortController.abort()
            res
              .on('data', () => {})
              .on('error', error => {
                reject(error)
              })
              .on('end', () =>
                resolve({
                  statusCode: res.statusCode,
                }),
              )
          })
          .on('error', error => {
            reject(error)
          })
          .end()
      })

    const error = await makeRequest().catch(error => error)
    expect(error).to.have.property('message', 'The operation was aborted')
    expect(error).to.have.property('name', 'AbortError')
    expect(error).to.have.property('code', 'ABORT_ERR')
    expect(error.cause).to.have.property(
      'message',
      'This operation was aborted',
    )
    scope.done()
  })",81,120,snuts
/tests/test_abort.js,NonFunctionalStatement,"{'startLine':114,'endLine':114}","it('Emits the expected event sequence when aborted multiple times', done => {
    const scope = nock('http://example.test').get('/').reply()

    const req = http.request('http://example.test')
    const emitSpy = sinon.spy(req, 'emit')

    req.on('error', () => {}) // listen for error so it doesn't bubble
    req.on('socket', () => {
      req.abort()
      req.abort()
      req.abort()
    })
    req.end()

    setTimeout(() => {
      const events = emitSpy.args.map(i => i[0])
      // important: `abort` and `error` events only fire once and the `close` event still fires at the end
      expect(events).to.deep.equal(['socket', 'abort', 'error', 'close'])
      expect(scope.isDone()).to.be.false()
      done()
    }, 10)
  })",108,129,snuts
/tests/got/test_url_encoding.js,AnonymousTest,"{'startLine':7,'endLine':14}","it('url encoding', async () => {
  const scope = nock('http://example.test').get('/key?a=[1]').reply(200)

  const { statusCode } = await got('http://example.test/key?a=[1]')
  expect(statusCode).to.equal(200)

  scope.done()
})",7,14,snuts
